Mes,precipitacao_total_2025,dias_chuvosos_2025,precipitacao_media_mensal_historico,media_dias_chuvosos_historico
1,360.4,13,144.33333333333334,10.8
2,70.4,10,99.49333333333334,10.866666666666667
3,258.0,14,141.76000000000002,11.933333333333334
4,486.4,18,126.24,13.666666666666666
5,434.8,22,127.13333333333334,11.133333333333333
6,132.8,9,64.41333333333334,9.8
7,68.0,11,58.12,10.8
8,156.0,8,79.82666666666667,11.0
9,292.40000000000003,16,64.04,9.8
10,392.8,17,133.8,13.733333333333333
11,100.8,10,220.25333333333336,15.733333333333333
12,79.0,9,198.26666666666668,14.066666666666666
